Assistance No.;Job No.;Vessel;Description;Vessel Name;Job;Departure;Arrival;Start Mobilisation;Ordered;On Site;Start - On Site;Lignes;Start Job;Start Job - End Job;Lignes2;End Job;End Job - End Mobilisation;Lignes3;End Mobilisation;Total;Lignes4;Assistant Hrs;Running Hrs.;Time Registration;Used Configuration;Comments
ASS21054193;JOB21027841;SOUTHAMPTON;Southampton;CELINE;SHIFT VOORHAVEN;;Brittaniadok C.RO  BRITTANNIADOK;21/05/21 14:50:12;21/05/21 14:40:00;21/05/21 14:52:48;;;21/05/21 15:08:50;;;21/05/21 15:24:06;;;21/05/21 15:24:46;;;0,3;0,6;Finished;;VRAI
ASS21054135;JOB21027840;SOUTHAMPTON;Southampton;CELANDINE;VOORHAVEN;;Albert II dok ALBERT II DOK;21/05/21 13:37:37;21/05/21 14:30:00;21/05/21 14:30:06;;;21/05/21 14:30:10;;;21/05/21 14:47:27;;;21/05/21 14:48:28;;;0,3;1,2;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21054009;JOB21027772;SOUTHAMPTON;Southampton;ELISABETH;VOORHAVEN;;Visartsluis - ZP1 OCHZ WESTERHOOFD;21/05/21 09:40:26;21/05/21 10:10:00;21/05/21 10:12:30;;;21/05/21 10:12:34;;;21/05/21 10:32:01;;;21/05/21 11:00:00;;;0,3;1,3;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21053973;JOB21027753;SOUTHAMPTON;Southampton;CELINE;VOORHAVEN;Brittaniadok C.RO  BRITTANNIADOK;ALBERT II DOK;21/05/21 07:45:00;21/05/21 08:15:00;21/05/21 08:04:34;;;21/05/21 08:15:00;;;21/05/21 08:50:38;;;21/05/21 09:20:00;;;0,6;1,6;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21053907;JOB21027725;SOUTHAMPTON;Southampton;AUTO ENERGY;LOCK;;Zuidelijk Insteekdok ZID WEST;21/05/21 02:15:00;21/05/21 02:50:00;21/05/21 02:45:00;;;21/05/21 02:51:57;;;21/05/21 03:22:32;;;21/05/21 03:52:00;;;0,5;1,6;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21053852;JOB21027705;SOUTHAMPTON;Southampton;TUGELA;LOCK;;Zuidelijk Insteekdok WALLENIUS;20/05/21 22:40:00;20/05/21 23:55:00;20/05/21 23:10:00;;;20/05/21 23:55:52;;;21/05/21 00:27:38;;;21/05/21 01:00:00;;;0,5;2,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21053823;JOB21027691;SOUTHAMPTON;Southampton;DELPHIS BOTHNIA;VOORHAVEN;;Albert II dok APM TERMINAL;20/05/21 21:10:00;20/05/21 21:45:00;20/05/21 21:44:33;;;20/05/21 21:44:34;;;20/05/21 22:40:00;;;20/05/21 23:10:00;;;0,9;2,;Finished;;VRAI
ASS21054011;JOB21027771;SOUTHAMPTON;Southampton;PRIMULA;VOORHAVEN;;715 MARINEDOK;20/05/21 18:30:00;20/05/21 18:30:00;20/05/21 18:45:00;;;20/05/21 18:45:00;;;20/05/21 18:50:00;;;20/05/21 19:15:00;;;0,1;0,8;Finished;;VRAI
ASS21053696;JOB21027642;SOUTHAMPTON;Southampton;YASMINE;VOORHAVEN;;Brittaniadok C.RO  BRITTANNIADOK;20/05/21 15:40:27;20/05/21 16:05:00;20/05/21 15:45:00;;;20/05/21 16:05:00;;;20/05/21 16:42:10;;;20/05/21 16:56:00;;;0,6;1,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21053670;JOB21027584;SOUTHAMPTON;Southampton;UNITED SPIRIT;LOCK;Noordelijk Insteekdok CTO WEST;;20/05/21 11:35:00;20/05/21 14:00:00;20/05/21 12:00:00;;;20/05/21 14:05:00;;;20/05/21 15:34:42;;;20/05/21 15:34:47;;;1,5;4,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21053519;JOB21027513;SOUTHAMPTON;Southampton;GLORIOUS ACE;LOCK;;Noordelijk Insteekdok ICO WEST;20/05/21 09:05:59;20/05/21 09:35:00;20/05/21 09:06:00;;;20/05/21 09:36:46;;;20/05/21 11:30:00;;;20/05/21 12:00:00;;;1,9;2,9;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21053489;JOB21027500;SOUTHAMPTON;Southampton;CLEAN VISION;VOORHAVEN;LNG LNG TERMINAL;;20/05/21 07:55:00;20/05/21 08:10:00;20/05/21 08:13:55;;;20/05/21 08:13:58;;;20/05/21 09:05:23;;;20/05/21 09:05:35;;;0,9;1,2;Finished;;VRAI
ASS21053402;JOB21027470;SOUTHAMPTON;Southampton;TOREADOR;LOCK;;Noordelijk Insteekdok CTO OOST;19/05/21 23:39:53;20/05/21 00:35:00;20/05/21 00:15:00;;;20/05/21 00:34:03;;;20/05/21 03:24:32;;;20/05/21 04:30:00;;;2,8;4,8;Finished;TOWING WINCH FWD / STBD;VRAI
ASS21053355;JOB21027459;SOUTHAMPTON;Southampton;UNITED SPIRIT;SHIFT ACHTERHAVEN;;Zuidelijk Insteekdok STEIGER TOYOTA;19/05/21 21:26:53;19/05/21 21:30:00;19/05/21 21:26:55;;;19/05/21 21:29:59;;;19/05/21 22:20:09;;;19/05/21 23:39:09;;;0,8;2,2;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21053301;JOB21027430;SOUTHAMPTON;Southampton;APOLLON HIGHWAY;LOCK;;Zuidelijk Insteekdok ZID OOST;19/05/21 18:45:00;19/05/21 18:05:00;19/05/21 18:50:00;;;19/05/21 19:05:00;;;19/05/21 20:05:51;;;19/05/21 20:35:00;;;1,;1,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21053233;JOB21027384;SOUTHAMPTON;Southampton;SPICA LEADER;SHIFT ACHTERHAVEN;;Zuidelijk Insteekdok ZID WEST;19/05/21 14:30:00;19/05/21 15:00:00;19/05/21 15:00:00;;;19/05/21 15:00:00;;;19/05/21 15:45:00;;;19/05/21 16:15:00;;;0,8;1,8;Finished;;VRAI
ASS21053131;JOB21027296;SOUTHAMPTON;Southampton;UNITED SPIRIT;LOCK;;Zuidelijk Insteekdok ZID OOST;19/05/21 11:15:00;19/05/21 11:35:00;19/05/21 11:25:00;;;19/05/21 11:35:00;;;19/05/21 14:30:00;;;19/05/21 15:00:00;;;2,9;3,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21052865;JOB21027196;SOUTHAMPTON;Southampton;GEORGIY BRUSILOV;VOORHAVEN;;LNG LNG STEIGER WEST;18/05/21 19:45:00;19/05/21 10:30:00;18/05/21 20:10:00;;;18/05/21 20:30:00;;;18/05/21 22:29:26;;;18/05/21 23:00:00;;;2,;3,3;Finished;TOWING WINCH FWD / PORT;VRAI
