Assistance No.;Job No.;Vessel;Description;Vessel Name;Job;Departure;Arrival;Start Mobilisation;Ordered;On Site;Start - On Site;Lignes;Start Job;Start Job - End Job;Lignes2;End Job;End Job - End Mobilisation;Lignes3;End Mobilisation;Total;Lignes4;Assistant Hrs;Running Hrs.;Time Registration;Used Configuration;Comments
ASS21045437;JOB21023397;SOUTHAMPTON;Southampton;CELINE;VOORHAVEN;;Brittaniadok C.RO  BRITTANNIADOK;2021-04-29 10:00:00;29/04/21 10:35:00;2021-04-29 10:30:32;25.663599999999995;87108 - 87140;29/04/21 10:37:06;;;29/04/21 11:04:07;;;29/04/21 11:35:00;;;0,5;1,6;Finished;TOWING WINCH FWD / STBD;VRAI
ASS21045361;JOB21023372;SOUTHAMPTON;Southampton;SCHELDEGRACHT;VOORHAVEN;;Albert II dok APM TERMINAL;2021-04-29 06:40:00;29/04/21 07:15:00;2021-04-29 07:10:00;38.372699999999995;86909 - 86938;29/04/21 07:13:42;;;29/04/21 08:13:46;;;29/04/21 08:43:00;;;1,;2,1;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21045315;JOB21023357;SOUTHAMPTON;Southampton;CMA CGM FORT ROYAL;VOORHAVEN;;Albert II dok APM TERMINAL;2021-04-29 04:20:00;29/04/21 05:15:00;2021-04-29 05:05:00;122.983;86769 - 86813;29/04/21 05:15:00;;;29/04/21 06:00:00;;;29/04/21 06:30:00;;;0,8;2,2;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21045308;JOB21023351;SOUTHAMPTON;Southampton;NIAGARA HIGHWAY;LOCK;Zuidelijk Insteekdok ZID OOST;;2021-04-29 03:00:00;29/04/21 03:15:00;2021-04-29 03:00:00;;;29/04/21 03:15:00;;;29/04/21 04:20:00;;;29/04/21 04:50:00;;;1,1;1,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21045233;JOB21023328;SOUTHAMPTON;Southampton;NIAGARA HIGHWAY;LOCK ONLY;Zuidelijk Insteekdok ZID OOST;;2021-04-28 21:30:00;28/04/21 22:00:00;2021-04-28 21:52:00;57.41100000000001;86359 - 86380;28/04/21 22:00:00;;;28/04/21 22:30:00;;;28/04/21 22:35:00;;;0,5;1,1;Finished;;VRAI
ASS21045175;JOB21023314;SOUTHAMPTON;Southampton;BALTIC HOLLYHOCK;LOCK;;Noordelijk Insteekdok BNFW OOST;2021-04-28 18:15:00;28/04/21 18:50:00;2021-04-28 18:40:00;42.9443;86164 - 86188;28/04/21 18:40:00;;;28/04/21 20:35:00;;;28/04/21 20:55:00;;;1,9;2,7;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21044826;JOB21023137;SOUTHAMPTON;Southampton;OOCL UNITED KINGDOM;VOORHAVEN;;Albert II dok APM TERMINAL;2021-04-27 18:15:00;27/04/21 18:55:00;2021-04-27 18:45:00;74.0638;84724 - 84753;27/04/21 19:00:00;;;27/04/21 20:05:00;;;27/04/21 20:35:00;;;1,1;2,3;Finished;TOWING WINCH FWD / STBD;FAUX
ASS21044690;JOB21023049;SOUTHAMPTON;Southampton;VIKING DIAMOND;LOCK ONLY;Zuidelijk Insteekdok STEIGER TOYOTA;;2021-04-27 13:30:00;27/04/21 13:50:00;2021-04-27 13:49:04;23.383699999999997;84440 - 84458;27/04/21 13:49:06;;;27/04/21 14:44:30;;;27/04/21 15:40:00;;;0,9;2,2;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21044621;JOB21023008;SOUTHAMPTON;Southampton;SPICA LEADER;LOCK;;Zuidelijk Insteekdok ZID WEST;2021-04-27 09:50:00;27/04/21 10:30:00;2021-04-27 10:20:00;45.47680000000001;84218 - 84249;27/04/21 10:33:44;;;27/04/21 12:32:50;;;27/04/21 13:05:00;;;2,;3,3;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21044432;JOB21022915;SOUTHAMPTON;Southampton;MORNING COURIER;LOCK;Zuidelijk Insteekdok SRT ZID;;2021-04-26 18:10:00;26/04/21 19:45:00;2021-04-26 19:42:00;113.8556;83279 - 83370;26/04/21 19:45:00;;;26/04/21 21:45:00;;;26/04/21 22:15:00;;;2,;4,1;Finished;TOWING WINCH FWD / STBD;VRAI
ASS21044386;JOB21022889;SOUTHAMPTON;Southampton;NEPTUNE GALENE;LOCK;Noordelijk Insteekdok CTO OOST;;2021-04-26 16:45:00;26/04/21 16:30:00;2021-04-26 17:35:00;89.7974;83194 - 83243;26/04/21 17:40:09;;;26/04/21 18:10:00;;;26/04/21 18:40:00;;;0,5;1,9;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21044315;JOB21022833;SOUTHAMPTON;Southampton;VIKING DIAMOND;SHIFT ACHTERHAVEN;;Noordelijk Insteekdok ICO WEST;2021-04-26 12:45:00;26/04/21 14:35:00;2021-04-26 14:27:59;130.5016;82955 - 83057;26/04/21 14:35:00;;;26/04/21 15:12:50;;;26/04/21 15:45:00;;;0,6;3,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21044155;JOB21022750;SOUTHAMPTON;Southampton;OOCL HONG KONG;VOORHAVEN;Albert II dok APM TERMINAL;;2021-04-26 04:20:00;26/04/21 04:55:00;2021-04-26 04:50:00;78.7663;82449 - 82478;26/04/21 04:55:00;;;26/04/21 05:45:00;;;26/04/21 06:15:00;;;0,8;1,9;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21044062;JOB21022719;SOUTHAMPTON;Southampton;RCC COMPASS;LOCK;Zuidelijk Insteekdok ZID WEST;;2021-04-25 21:25:00;25/04/21 22:10:00;2021-04-25 21:45:00;54.318400000000004;82034 - 82053;25/04/21 22:10:00;;;25/04/21 23:45:00;;;26/04/21 00:15:00;;;1,6;2,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043951;JOB21022674;SOUTHAMPTON;Southampton;CENTAURUS LEADER;LOCK;;Zuidelijk Insteekdok TOYOTA ZID;2021-04-25 15:05:00;25/04/21 15:35:00;2021-04-25 15:15:00;12.685599999999999;81655 - 81664;25/04/21 15:37:26;;;25/04/21 17:35:00;;;25/04/21 18:05:00;;;2,;3,;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043768;JOB21022583;SOUTHAMPTON;Southampton;TAIPAN;LOCK;;Zuidelijk Insteekdok WALLENIUS;2021-04-25 01:30:00;25/04/21 02:15:00;2021-04-25 02:00:00;50.8031;80840 - 80869;25/04/21 02:10:00;;;25/04/21 04:35:00;;;25/04/21 05:05:00;;;2,4;3,6;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043756;JOB21022576;SOUTHAMPTON;Southampton;GRAND PAVO;LOCK;Zuidelijk Insteekdok WALLENIUS;;2021-04-24 23:30:00;25/04/21 00:05:00;2021-04-25 00:00:00;50.7983;80720 - 80749;25/04/21 00:10:00;;;25/04/21 01:30:00;;;25/04/21 02:00:00;;;1,3;2,5;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043743;JOB21022572;SOUTHAMPTON;Southampton;EURASIAN HIGHWAY;LOCK;Zuidelijk Insteekdok ZID WEST;;2021-04-24 19:45:00;24/04/21 21:55:00;2021-04-24 21:30:00;;;24/04/21 22:00:00;;;24/04/21 23:30:00;;;25/04/21 00:00:00;;;1,5;4,3;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21043705;JOB21022557;SOUTHAMPTON;Southampton;RCC COMPASS;SHIFT ACHTERHAVEN;K521;ZUIDELIJK INSTEEK DOK;2021-04-24 18:00:00;24/04/21 18:30:00;2021-04-24 18:30:00;67.8428;80390 - 80419;24/04/21 18:30:00;;;24/04/21 19:15:00;;;24/04/21 19:45:00;;;0,8;1,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043513;JOB21022505;SOUTHAMPTON;Southampton;EURASIAN HIGHWAY;LOCK;;Zuidelijk Insteekdok ZID WEST;2021-04-24 10:00:00;24/04/21 10:40:00;2021-04-24 10:24:41;35.0803;79911 - 79935;24/04/21 10:38:37;;;24/04/21 12:33:40;;;24/04/21 13:03:00;;;1,9;3,1;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043437;JOB21022466;SOUTHAMPTON;Southampton;DELHI HIGHWAY;LOCK;Zuidelijk Insteekdok TOYOTA ZID;;2021-04-24 03:45:00;24/04/21 04:15:00;2021-04-24 04:15:00;12.4005;79535 - 79564;24/04/21 04:25:00;;;24/04/21 06:28:56;;;24/04/21 07:00:00;;;2,1;3,3;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043358;JOB21022443;SOUTHAMPTON;Southampton;RCC COMPASS;LOCK;;Zuidelijk Insteekdok ZID OOST;2021-04-23 20:30:00;23/04/21 21:15:00;2021-04-23 21:15:00;82.39419999999998;79100 - 79144;23/04/21 21:15:00;;;23/04/21 23:30:00;;;24/04/21 00:00:00;;;2,3;3,5;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21043233;JOB21022379;SOUTHAMPTON;Southampton;CORAL LEADER;LOCK;Zuidelijk Insteekdok ZID WEST;;2021-04-23 15:30:00;23/04/21 16:00:00;2021-04-23 15:49:13;28.9752;78801 - 78819;23/04/21 16:01:09;;;23/04/21 17:47:23;;;23/04/21 18:17:00;;;1,8;2,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043026;JOB21022220;SOUTHAMPTON;Southampton;CORAL LEADER;SHIFT ACHTERHAVEN;Zuidelijk Insteekdok ZID WEST;;2021-04-23 06:00:00;23/04/21 06:35:00;2021-04-23 06:32:03;64.70660000000001;78230 - 78261;23/04/21 06:36:49;;;23/04/21 07:16:41;;;23/04/21 07:46:23;;;0,7;1,8;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21042980;JOB21022192;SOUTHAMPTON;Southampton;VIKING AMBER;LOCK;;Zuidelijk Insteekdok ZID WEST;2021-04-23 02:00:00;23/04/21 02:45:00;2021-04-23 02:30:00;60.4417;77990 - 78019;23/04/21 02:45:00;;;23/04/21 04:35:00;;;23/04/21 05:05:00;;;1,8;3,1;Finished;TOWING WINCH FWD / PORT;FAUX
ASS21042912;JOB21022150;SOUTHAMPTON;Southampton;VLADIMIR VORONIN;VOORHAVEN;;LNG LNG STEIGER WEST;2021-04-22 17:50:00;22/04/21 18:40:00;2021-04-22 18:30:00;40.8767;77500 - 77539;22/04/21 18:40:00;;;22/04/21 20:08:22;;;22/04/21 20:38:00;;;1,5;2,8;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21042887;JOB21022145;SOUTHAMPTON;Southampton;RUDOLF SAMOYLOVICH;VOORHAVEN;LNG LNG STEIGER WEST;;2021-04-22 16:45:00;22/04/21 16:55:00;2021-04-22 16:47:00;3.9004;77435 - 77436;22/04/21 17:04:43;;;22/04/21 17:39:44;;;22/04/21 17:50:00;;;0,6;1,1;Finished;TOWING WINCH FWD / PORT;VRAI
ASS21043065;JOB21021918;SOUTHAMPTON;Southampton;RUDOLF SAMOYLOVICH;FIREWATCH;;LNG LNG STEIGER WEST;2021-04-22 13:40:00;21/04/21 19:30:00;2021-04-22 13:40:00;;;22/04/21 13:40:00;;;22/04/21 16:45:00;;;22/04/21 16:45:00;;;3,1;3,1;Finished;;FAUX
ASS21042815;JOB21022100;SOUTHAMPTON;Southampton;YAMAL SPIRIT;FIREWATCH;;LNG LNG TERMINAL;2021-04-22 13:30:00;22/04/21 13:40:00;2021-04-22 13:40:00;23.6817;77241 - 77250;22/04/21 13:40:00;;;22/04/21 18:30:00;;;22/04/21 19:00:00;;;4,8;5,5;Finished;;FAUX
